DATE,OPPONENT,W/L,SCORE,OVERALL,CONFERENCE,ATTEND,GOALS SCORED [ASSIST]
8/18/2022,at Temple,T,1-Jan,"(0-0-1, 0-0-0)",0-0-0,417,Alina Stahl (1) (Amanda Schafer)
8/25/2022,at Navy,T,1-Jan,"(0-0-2, 0-0-0)",0-0-0,1477,"Kam Fisher (1) (Mikayla Dayes , Alina Stahl)"
8/28/2022,at Penn,T,1-Jan,"(0-0-3, 0-0-0)",0-0-0,402,Juliana Lynch (1) (Alina Stahl)
9/1/2022,vs Georgetown,T,1-Jan,"(0-0-4, 0-0-0)",0-0-0,1105,"Alina Stahl (2) (Mikayla Dayes , Juliana Lynch)"
9/4/2022,vs George Mason,W,Mar-00,"(1-0-4, 0-0-0)",0-0-0,802,Alina Stahl (3) (Catherine DeRosa)
,,,,,,,Sofi Vinas (1) (Catherine DeRosa)
,,,,,,,Alyssa Poarch (1) (Sofi Vinas)
9/8/2022,vs Wake Forest,L,0-1,"(1-1-4, 0-0-0)",0-0-0,702,
9/11/2022,vs Saint Joseph's,T,0-0,"(1-1-5, 0-0-0)",0-0-0,509,
9/16/2022,vs Michigan,W,Jan-00,"(2-1-5, 1-0-0)",1-0-0,1227,"Mikayla Dayes (1) (Juliana Lynch , Sofi Vinas)"
9/22/2022,vs Illinois,L,3-Feb,"(2-2-5, 1-1-0)",1/1/2000,1007,Alyssa Poarch (2) (Catherine DeRosa)
,,,,,,,Mikayla Dayes (2) (Olivia Hicks)
9/25/2022,at Rutgers,L,0-1,"(2-3-5, 1-2-0)",1/2/2000,1239,
9/29/2022,at Wisconsin,L,2-Jan,"(2-4-5, 1-3-0)",1/3/2000,418,Alina Stahl (4) (Mia Isaac)
10/2/2022,vs Michigan St.,L,0-4,"(2-5-5, 1-4-0)",1/4/2000,604,
10/9/2022,vs Penn St.,L,0-2,"(2-6-5, 1-5-0)",1/5/2000,1207,
10/13/2022,at Ohio State,L,0-7,"(2-7-5, 1-6-0)",1/6/2000,650,
10/16/2022,vs Minnesota,L,2-Jan,"(2-8-5, 1-7-0)",1/7/2000,700,Alyssa Poarch (3) (Juliana Lynch)
10/20/2022,at Indiana,W,Jan-00,"(3-8-5, 2-7-0)",2/7/2000,302,Alina Stahl (5) (Alyssa Poarch)
10/23/2022,at Purdue,W,1-Mar,"(4-8-5, 3-7-0)",3/7/2000,439,Ava Morales (2) (Catherine DeRosa)
,,,,,,,Ava Morales (2)
,,,,,,,Alyssa Poarch (4)
