#,PLAYER,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA
24,"Stahl, Alina",17,17,967,5,2,12,16,0.313,11,0.688,0-0,2,0-0
7,"Poarch, Alyssa",17,17,1162,4,1,9,42,0.095,18,0.429,0-0,0,0-0
28,"Dayes, Mikayla",17,17,1241,2,2,6,24,0.083,11,0.458,Jan-00,1,0-0
18,"Lynch, Juliana",16,13,1141,1,3,5,12,0.083,7,0.583,Jul-00,0,0-0
13,"DeRosa, Catherine",17,15,1118,0,4,4,16,0,4,0.25,Mar-00,0,0-0
2,"Morales, Ava",14,2,416,2,0,4,8,0.25,4,0.5,0-0,1,0-0
8,"Vinas, Sofi",17,0,540,1,2,4,3,0.333,3,1,Jan-00,0,0-0
5,"Fisher, Kam",15,2,540,1,0,2,7,0.143,2,0.286,Jan-00,0,0-0
55,"Hicks, Olivia",15,4,566,0,1,1,0,0,0,0,0-0,0,0-0
10,"Isaac, Mia",17,8,875,0,1,1,8,0,3,0.375,Jan-00,0,0-0
15,"Schafer, Amanda",17,13,1287,0,1,1,14,0,6,0.429,Jan-00,0,0-0
17,"Dayes, Malikae",16,16,1425,0,0,0,2,0,2,1,Jul-00,0,0-0
21,"Hopkins, Sydney",6,4,313,0,0,0,0,0,0,0,Jan-00,0,0-0
25,"Jackson, Zora",11,2,224,0,0,0,1,0,0,0,Jan-00,0,0-0
6,"Johnson , Halle",13,5,490,0,0,0,3,0,1,0.333,0-0,0,0-0
33,"Smith, Madeline",13,11,1038,0,0,0,0,0,0,0,Jan-00,0,0-0
23,"Turnage, Tahirah",9,7,682,0,0,0,2,0,2,1,Jan-00,0,0-0
9,"Urban , Sydney",17,16,1135,0,0,0,3,0,2,0.667,0-0,0,0-0
16,"Waterman, Christa",15,11,1043,0,0,0,2,0,0,0,Feb-00,0,0-0
99,"Wegener, Emory",6,6,492,0,0,0,0,0,0,0,0-0,0,0-0
11,"Weston, Brooke",6,1,135,0,0,0,1,0,1,1,Jan-00,0,0-0
